split,activity,num_sequences,num_frames,example_image
test,boxing,698,13960,/Users/amrutha/workspace/kth_tracking/output/report_samples/test_boxing.jpg
test,handclapping,671,13420,/Users/amrutha/workspace/kth_tracking/output/report_samples/test_handclapping.jpg
test,handwaving,821,16420,/Users/amrutha/workspace/kth_tracking/output/report_samples/test_handwaving.jpg
test,jogging,419,8380,/Users/amrutha/workspace/kth_tracking/output/report_samples/test_jogging.jpg
test,running,274,5480,/Users/amrutha/workspace/kth_tracking/output/report_samples/test_running.jpg
test,walking,685,13700,/Users/amrutha/workspace/kth_tracking/output/report_samples/test_walking.jpg
train,boxing,701,14020,/Users/amrutha/workspace/kth_tracking/output/report_samples/train_boxing.jpg
train,handclapping,600,12000,/Users/amrutha/workspace/kth_tracking/output/report_samples/train_handclapping.jpg
train,handwaving,776,15520,/Users/amrutha/workspace/kth_tracking/output/report_samples/train_handwaving.jpg
train,jogging,394,7880,/Users/amrutha/workspace/kth_tracking/output/report_samples/train_jogging.jpg
train,running,259,5180,/Users/amrutha/workspace/kth_tracking/output/report_samples/train_running.jpg
train,walking,685,13700,/Users/amrutha/workspace/kth_tracking/output/report_samples/train_walking.jpg
validation,boxing,605,12100,/Users/amrutha/workspace/kth_tracking/output/report_samples/validation_boxing.jpg
validation,handclapping,644,12880,/Users/amrutha/workspace/kth_tracking/output/report_samples/validation_handclapping.jpg
validation,handwaving,790,15800,/Users/amrutha/workspace/kth_tracking/output/report_samples/validation_handwaving.jpg
validation,jogging,378,7560,/Users/amrutha/workspace/kth_tracking/output/report_samples/validation_jogging.jpg
validation,running,245,4900,/Users/amrutha/workspace/kth_tracking/output/report_samples/validation_running.jpg
validation,walking,632,12640,/Users/amrutha/workspace/kth_tracking/output/report_samples/validation_walking.jpg
