video,total_frames,detected,fallback,detected_pct,fallback_pct
person01_boxing_d1,320,320,0,100.0,0.0
person01_boxing_d2,320,320,0,100.0,0.0
person01_boxing_d3,420,420,0,100.0,0.0
person01_boxing_d4,280,280,0,100.0,0.0
person01_handclapping_d1,340,340,0,100.0,0.0
person01_handclapping_d2,440,440,0,100.0,0.0
person01_handclapping_d3,400,400,0,100.0,0.0
person01_handclapping_d4,340,340,0,100.0,0.0
person01_handwaving_d1,440,440,0,100.0,0.0
person01_handwaving_d2,380,380,0,100.0,0.0
person01_handwaving_d3,440,440,0,100.0,0.0
person01_handwaving_d4,440,440,0,100.0,0.0
person01_jogging_d1,160,115,45,71.9,28.1
person01_jogging_d2,240,199,41,82.9,17.1
person01_jogging_d3,160,141,19,88.1,11.9
person01_jogging_d4,240,230,10,95.8,4.2
person01_running_d1,100,52,48,52.0,48.0
person01_running_d2,160,126,34,78.8,21.2
person01_running_d3,100,56,44,56.0,44.0
person01_running_d4,160,144,16,90.0,10.0
person01_walking_d1,240,180,60,75.0,25.0
person01_walking_d2,460,422,38,91.7,8.3
person01_walking_d3,260,197,63,75.8,24.2
person01_walking_d4,420,393,27,93.6,6.4
person02_boxing_d1,400,398,2,99.5,0.5
person02_boxing_d2,420,420,0,100.0,0.0
person02_boxing_d3,460,460,0,100.0,0.0
person02_boxing_d4,500,500,0,100.0,0.0
person02_handclapping_d1,360,360,0,100.0,0.0
person02_handclapping_d2,340,340,0,100.0,0.0
person02_handclapping_d3,340,340,0,100.0,0.0
person02_handclapping_d4,340,340,0,100.0,0.0
person02_handwaving_d1,360,360,0,100.0,0.0
person02_handwaving_d2,320,320,0,100.0,0.0
person02_handwaving_d3,340,340,0,100.0,0.0
person02_handwaving_d4,380,380,0,100.0,0.0
person02_jogging_d1,160,109,51,68.1,31.9
person02_jogging_d2,460,344,116,74.8,25.2
person02_jogging_d3,240,223,17,92.9,7.1
person02_jogging_d4,240,217,23,90.4,9.6
person02_running_d1,160,125,35,78.1,21.9
person02_running_d2,340,261,79,76.8,23.2
person02_running_d3,240,219,21,91.2,8.8
person02_running_d4,220,206,14,93.6,6.4
person02_walking_d1,240,172,68,71.7,28.3
person02_walking_d2,760,637,123,83.8,16.2
person02_walking_d3,320,280,40,87.5,12.5
person02_walking_d4,360,333,27,92.5,7.5
person03_boxing_d1,420,418,2,99.5,0.5
person03_boxing_d2,460,459,1,99.8,0.2
person03_boxing_d3,360,360,0,100.0,0.0
person03_boxing_d4,480,480,0,100.0,0.0
person03_handclapping_d1,420,420,0,100.0,0.0
person03_handclapping_d2,380,380,0,100.0,0.0
person03_handclapping_d3,420,420,0,100.0,0.0
person03_handclapping_d4,380,380,0,100.0,0.0
person03_handwaving_d1,520,520,0,100.0,0.0
person03_handwaving_d2,440,440,0,100.0,0.0
person03_handwaving_d3,440,440,0,100.0,0.0
person03_handwaving_d4,480,480,0,100.0,0.0
person03_jogging_d1,160,120,40,75.0,25.0
person03_jogging_d2,460,387,73,84.1,15.9
person03_jogging_d3,160,137,23,85.6,14.4
person03_jogging_d4,240,229,11,95.4,4.6
person03_running_d1,120,87,33,72.5,27.5
person03_running_d2,280,207,73,73.9,26.1
person03_running_d3,80,36,44,45.0,55.0
person03_running_d4,140,127,13,90.7,9.3
person03_walking_d1,380,357,23,93.9,6.1
person03_walking_d2,820,740,80,90.2,9.8
person03_walking_d3,360,332,28,92.2,7.8
person03_walking_d4,340,317,23,93.2,6.8
person04_boxing_d1,280,280,0,100.0,0.0
person04_boxing_d2,420,420,0,100.0,0.0
person04_boxing_d3,360,360,0,100.0,0.0
person04_boxing_d4,340,340,0,100.0,0.0
person04_handclapping_d1,360,360,0,100.0,0.0
person04_handclapping_d2,420,420,0,100.0,0.0
person04_handclapping_d3,380,380,0,100.0,0.0
person04_handclapping_d4,360,360,0,100.0,0.0
person04_handwaving_d1,560,560,0,100.0,0.0
person04_handwaving_d2,540,540,0,100.0,0.0
person04_handwaving_d3,480,480,0,100.0,0.0
person04_handwaving_d4,440,440,0,100.0,0.0
person04_jogging_d1,160,118,42,73.8,26.2
person04_jogging_d2,360,276,84,76.7,23.3
person04_jogging_d3,160,93,67,58.1,41.9
person04_jogging_d4,240,222,18,92.5,7.5
person04_running_d1,120,53,67,44.2,55.8
person04_running_d2,220,142,78,64.5,35.5
person04_running_d3,80,32,48,40.0,60.0
person04_running_d4,160,142,18,88.8,11.2
person04_walking_d1,320,275,45,85.9,14.1
person04_walking_d2,600,489,111,81.5,18.5
person04_walking_d3,280,181,99,64.6,35.4
person04_walking_d4,340,318,22,93.5,6.5
person05_boxing_d1,400,397,3,99.2,0.8
person05_boxing_d2,380,379,1,99.7,0.3
person05_boxing_d3,380,380,0,100.0,0.0
person05_boxing_d4,420,416,4,99.0,1.0
person05_handclapping_d1,380,380,0,100.0,0.0
person05_handclapping_d2,380,380,0,100.0,0.0
person05_handclapping_d3,420,420,0,100.0,0.0
person05_handclapping_d4,420,420,0,100.0,0.0
person05_handwaving_d1,440,440,0,100.0,0.0
person05_handwaving_d2,420,420,0,100.0,0.0
person05_handwaving_d3,400,400,0,100.0,0.0
person05_handwaving_d4,380,380,0,100.0,0.0
person05_jogging_d1,160,120,40,75.0,25.0
person05_jogging_d2,220,178,42,80.9,19.1
person05_jogging_d3,160,120,40,75.0,25.0
person05_jogging_d4,240,218,22,90.8,9.2
person05_running_d1,80,37,43,46.2,53.8
person05_running_d2,160,118,42,73.8,26.2
person05_running_d3,140,87,53,62.1,37.9
person05_running_d4,160,137,23,85.6,14.4
person05_walking_d1,260,186,74,71.5,28.5
person05_walking_d2,400,336,64,84.0,16.0
person05_walking_d3,280,225,55,80.4,19.6
person05_walking_d4,360,316,44,87.8,12.2
person06_boxing_d1,380,380,0,100.0,0.0
person06_boxing_d2,360,360,0,100.0,0.0
person06_boxing_d3,340,340,0,100.0,0.0
person06_boxing_d4,340,340,0,100.0,0.0
person06_handclapping_d1,380,380,0,100.0,0.0
person06_handclapping_d2,340,338,2,99.4,0.6
person06_handclapping_d3,340,340,0,100.0,0.0
